,spoken_words,analise
0,Can't talk. Robbed. Go hell.,negative
1,Dad! We've been robbed!,negative
2,"Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",negative
3,Woo hoo!,positive
4,And our portable TV!,negative
5,And my necklace.,negative
6,"Eh, that's no big loss.",neutral
7,Homer! That necklace was a priceless Bouvier family heirloom.,negative
8,"Oh, you've probably got a whole drawer full of 'em.",neutral
9,"Well... Yes, I do. But they're all heirlooms, too.",
10,The burglar even took my stamp collection.,negative
11,YOU had a stamp collection?,neutral
12,Stamp collection. Haw haw!,positive
13,"Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",negative
14,"Shhh, quiet Lisa.",neutral
15,"Hey, the burglar left his calling card.",negative
16,"""You have just been robbed by The Springfield Cat Burglar""... Cute.",neutral
17,"Hidilly ho, neighboreenos.",neutral
18,You folks got robbed too? The burglar took my Shroud of Turin beach towels.,negative
19,Wow. It's a crime wave.,
20,Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,negative
21,Hey! I thought I had more stuff than this.,negative
22,"We are insured, aren't we, Mom?",neutral
23,"Homer, tell your child what you bought when I sent you to town to get some insurance.",negative
24,"Curse you, Magic Beans.",negative
25,"Oh, stop blaming the beans.",negative
26,"Hello, police? Are you sitting down? Good. I wish to report a robbery!",negative
27,"A robbery, right. Thanks for the report.",neutral
28,"Another one, Lou. 723 Evergreen Terrace.",neutral
29,"Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",
30,"Hey look, Chief. It's pointing right at this police station.",positive
31,Let's get outta here!,neutral
32,"When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",negative
33,"So, professor, would you say it's time for everyone to panic?",positive
34,"Yes I would, Kent.",neutral
35,"Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. Gosh, look at me, I'm sweating like a pig here...",negative
36,Ahhh. Aw man... that's better.,neutral
37,"Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",positive
38,"Ow, my jugular! Any questions?",negative
39,Let me check my reason list.,
40,Yep. It's on here.,positive
41,"Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",positive
42,"Well, the the real humans won't uh.. won't burn quite so fast there.",positive
43,Cool! High-tech security system.,positive
44,"Alright, free laserium. All the colors of the bow, man.",positive
45,My cataracts are gone! I can see again! All the beauty of nat...,positive
46,"I'm blind! Oh well, easy come easy go.",negative
47,"It's the cat burglar! Please, don't kill me!",negative
48,"Abe, can I use your ointment?",neutral
49,"Oh, it's you, Molloy. Alright. But this time clean off the applicator.",
50,Thank you for coming. I'll see you in Hell.,negative
51,"Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows.",negative
52,And don't take candy from strangers.,negative
53,"Marge, they're only human.",negative
54,What's the point of all these precautions? I've already lost the only thing that matters to me.,negative
55,"Oh Lisa, stop pining for your saxophone. I got you another instrument.",negative
56,"What, this jug?",negative
57,"Lisa, never, ever stop in the middle of a hoe-down.",positive
58,"Aw, honey. I didn't realize how much that horn meant to you. Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something.",positive
59,Thank you.,
60,"You know Lisa, music helps daddy think.",positive
61,"Hey, you're that drunken posse. Wow, can I join you?",positive
62,I dunno. Can you swing a sack of door knobs?,neutral
63,Can I?!,positive
64,"Welcome, neighbors... since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!",positive
65,"Now, who should lead the group?",neutral
66,You!,positive
67,Yeah! Flanders! Flanders! Flanders!,neutral
68,"I don't really have very much experience, but I'll be---",
69,Someone else!,
70,Yeah! Someone else! Someone else! Someone else!,positive
71,I'm someone else!,positive
72,He's right!,positive
73,"We don't need a thinker, we need a doer. Someone who'll act without considering the consequences.",negative
74,Homer! Homer! Homer!,positive
75,"I'm with you, Homer.",positive
76,"I be with ya too, matey.",positive
77,"I'm with you, Homer.",positive
78,"You're the man, Homer.",positive
79,You're so good.,
80,"You're the man, man.",positive
81,I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,positive
82,"Sorry, Dad. You're too old.",negative
83,"Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!",positive
84,And a fine job ye did too!,positive
85,"Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. Aren't they? Aren't they? Huh? Yes they are. Yes they are...",negative
86,Stop it! It's a form of abuse!,negative
87,"I don't think the guns are a good idea, Homer.",negative
88,"Marge, we're responsible adults and...",
89,Oops.,
90,... and if a group of responsible adults can't handle firearms in a responsible way...,negative
91,Sorry.,negative
92,Uh-oh!,neutral
93,Me again.,negative
94,Sorry.,negative
95,"Okay, we've got the secret vigilante handshake. Now we need code names. I'll be ""Cueball."" Skinner can be ""Eightball"", Barney will be ""Twelveball,"" and Moe, you can be ""Cueball.""",positive
96,You're an idiot.,negative
97,"So, wedding, huh?",neutral
98,"No, we're forming a vigilante group.",positive
99,Come with me.,
100,"See, it's a miniature version of the A-bomb. The government built it in the fifties to drop on beatniks.",negative
101,Radiant cool crazy nightmare. Zen New Jersey nowhere.,neutral
102,Put this in your pipe and smoke it.,neutral
103,How now brown bureaucrats.,neutral
104,Woo Hoo! Woo hoo hoo hoo!,positive
105,"Woo hoo, hoo! Take that Maynard G. Krebs!",positive
106,"Hey, see this sign?",neutral
107,Sorry.,negative
108,"Okay, men, it's time to clean up this town.",neutral
109,Meaning what exactly?,
110,"You know, push people around, make ourselves feel big.",negative
111,"Bart, give me that megaphone of yours.",neutral
112,"It's not just a megaphone, Dad. It's a RapMaster 2000.",neutral
113,Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape.,negative
114,Move along there.,neutral
115,It's Hammer!,neutral
116,Return to your homes and places of businesses!,negative
117,"Hey you, where'd you get that saxophone?",neutral
118,Sears.,neutral
119,Get him!,
120,No burning leaves without a permit!,negative
121,I got one.,neutral
122,Too late.,negative
123,"You better have a good reason for doing that, boy.",negative
124,It makes me feel like a big man.,positive
125,You're in. Here's the sack.,positive
126,But you gotta supply your own knobs.,negative
127,"So I said to him, ""Look buddy, your car was upside down when we got here. And as for your Grandma, she shouldn't have mouthed off like that.""",negative
128,"Dad, don't you see you're abusing your power like all vigilantes? I mean, if you're the police, who will police the police?",negative
129,I 'unno. Coast Guard?,
130,"Homer, wasn't the whole point to catch the cat burglar?",negative
131,And I still don't have my saxophone.,negative
132,"Lisa, the mob is working on getting your saxophone back, but we've also expanded into other important areas.",neutral
133,Literacy programs... preserving our beloved covered bridges... world domination...,neutral
134,World domination?,neutral
135,"Oh, that might be a typo.",negative
